memnuniyet_seviyesi;performans_olcumu;proje_sayisi;aylik_calisma_suresi;tecrube
87;57;2;181;6
83;98;3;229;6
87;83;4;265;6
87;83;4;265;6
87;83;4;265;6
87;84;4;264;6
87;84;4;264;6
87;84;4;264;6
76;82;4;170;6
76;82;4;170;6
81;93;5;265;6
74;98;3;196;6
13;62;3;264;6
88;92;4;233;6
13;89;4;249;6
18;96;5;208;6
78;99;4;255;6
78;99;4;255;6
78;99;4;255;6
23;88;4;175;6
58;54;3;287;6
22;85;6;172;6
59;97;5;179;6
59;97;5;179;6
12;65;5;262;6
78;66;6;105;5
61;37;4;165;6
88;91;4;234;6
77;98;5;259;6
77;98;5;259;6
77;98;5;259;6
81;98;5;243;6
23;78;4;163;6
78;89;5;274;6
78;89;5;274;6
65;37;3;170;6
65;37;3;170;6
14;73;5;266;6
19;92;5;193;6
35;47;4;151;6
14;51;4;253;6
15;67;6;167;6
89;74;5;260;6
89;74;5;260;6
12;61;6;172;6
21;65;4;276;6
22;44;3;166;6
18;95;4;241;6
21;76;4;165;6
86;82;3;263;6
78;45;3;253;6
42;86;2;108;5
84;94;5;222;6
84;94;5;222;6
84;94;5;222;6
93;62;3;231;6
24;74;6;106;5
85;82;5;264;6
16;93;6;218;6
16;93;6;218;6
83;93;6;130;5
76;45;5;177;6
64;38;5;171;6
27;85;2;277;6
66;78;4;161;6
66;78;4;161;6
72;47;5;168;6
26;91;5;183;6
14;76;5;260;6
88;87;4;235;6
89;65;5;195;6
89;65;5;195;6
89;65;5;195;6
78;98;5;239;6
78;98;5;239;6
78;98;5;239;6
81;83;5;269;6
14;89;3;212;6
62;63;5;153;6
87;88;5;231;6
81;95;5;238;6
81;95;5;238;6
81;95;5;238;6
48;73;5;152;6
76;98;5;217;6
76;98;5;217;6
16;96;5;137;5
16;96;5;137;5
19;69;4;269;6
16;88;4;201;6
77;98;4;238;6
16;61;4;171;6
16;61;4;171;6
84;91;5;232;6
23;96;4;242;6
29;38;6;105;5
77;96;5;249;6
89;82;5;224;6
38;43;2;160;6
64;63;3;156;6
64;63;3;156;6
81;94;5;233;6
15;89;3;219;6
14;74;4;117;5
11;93;5;140;5
11;93;5;140;5
87;85;5;221;6
79;92;5;254;6
79;92;5;254;6
79;92;5;254;6
29;77;3;164;6
86;84;4;246;6
86;84;4;246;6
77;91;5;261;6
87;53;6;216;6
12;84;4;218;6
96;62;5;128;5
24;91;5;258;6
52;92;5;280;6
85;85;4;247;6
85;85;4;247;6
73;96;5;256;6
84;87;4;246;6
84;87;4;246;6
84;87;4;246;6
15;76;4;255;6
88;81;4;235;6
75;97;5;243;6
75;97;5;243;6
75;97;5;243;6
42;96;3;270;6
15;84;3;201;6
53;56;4;281;6
53;56;4;281;6
53;56;4;281;6
85;87;6;232;6
84;85;4;249;6
84;85;4;249;6
84;85;4;249;6
55;86;4;169;6
55;86;4;169;6
54;83;6;165;6
79;94;5;227;6
11;97;6;289;5
11;97;6;289;5
11;97;6;289;5
55;48;4;271;6
73;97;5;217;6
33;46;5;261;6
47;86;4;169;6
82;49;5;203;6
82;49;5;203;6
72;39;5;111;5
66;53;3;164;6
66;53;3;164;6
55;57;5;280;6
24;82;5;179;6
18;61;5;174;6
18;61;5;174;6
99;75;6;139;5
19;86;4;198;6
85;55;2;207;6
73;41;2;231;6
69;66;5;106;5
78;86;5;260;6
77;94;5;226;6
77;94;5;226;6
77;94;5;226;6
57;97;5;126;5
22;76;4;176;6
54;74;4;160;6
16;84;3;238;6
61;51;6;163;6
68;85;2;180;6
81;85;4;251;6
81;85;4;251;6
15;48;6;204;6
15;48;6;218;6
73;94;3;251;6
67;39;2;235;6
82;58;2;248;6
46;47;6;101;5
14;95;4;144;5
67;81;5;175;6
33;82;2;114;5
12;59;3;229;6
79;86;3;126;5
18;52;5;185;6
48;98;3;259;6
95;58;4;131;5
73;44;2;194;6
73;95;4;223;6
72;65;3;109;5
87;71;6;224;6
34;52;6;265;6
69;76;3;174;6
69;76;3;174;6
54;67;4;282;6
14;52;4;217;6
96;42;6;101;4
22;57;5;174;6
91;38;5;279;5
96;59;6;133;5
34;89;5;266;6
77;91;5;221;6
77;91;5;221;6
77;91;5;221;6
64;63;5;105;5
83;81;3;242;6
11;93;4;295;3
17;55;6;240;6
17;55;6;240;6
65;76;3;111;5
77;76;6;263;6
77;76;6;263;6
16;72;4;192;6
13;67;5;234;6
81;52;4;221;6
85;46;3;123;5
77;74;2;187;6
77;48;3;204;6
39;99;6;235;6
79;58;4;191;6
75;55;3;253;6
82;82;5;220;6
54;93;3;124;5
51;41;6;106;5
19;93;3;110;4
23;88;5;238;6
17;78;3;239;6
17;78;3;239;6
39;67;6;276;6
13;63;6;219;6
77;87;4;242;6
77;87;4;242;6
77;87;4;242;6
92;88;4;111;4
69;97;5;105;4
21;85;6;235;6
37;46;3;173;6
18;57;6;238;6
11;96;6;298;4
11;96;6;298;4
11;96;6;298;4
26;73;4;178;6
74;88;4;248;6
22;69;4;182;6
64;41;3;231;6
17;79;2;126;5
79;77;3;201;6
79;77;3;201;6
68;92;4;209;6
81;62;3;240;6
81;62;3;240;6
95;43;6;283;2
57;39;3;193;6
28;97;4;102;3
62;84;3;270;6
62;84;3;270;6
75;85;3;250;6
75;85;3;250;6
16;76;6;218;6
69;86;5;195;6
69;86;5;195;6
29;65;5;110;5
73;52;2;113;5
46;75;6;276;6
15;69;6;213;6
69;91;6;247;6
52;89;3;188;6
52;89;3;188;6
74;89;5;232;6
74;79;5;121;5
74;79;5;121;5
74;89;5;229;6
74;89;5;229;6
74;89;5;229;6
78;83;4;217;6
78;83;4;217;6
78;83;4;217;6
19;72;6;243;6
15;67;5;216;6
48;94;5;255;6
57;72;4;275;6
57;72;4;275;6
57;72;4;275;6
16;66;6;229;6
19;63;6;241;6
19;63;6;241;6
73;89;5;236;6
73;89;5;236;6
57;86;4;268;6
59;73;3;172;6
59;73;3;172;6
48;54;4;105;5
67;71;4;178;6
23;48;5;221;6
76;85;5;236;6
73;84;5;251;6
48;77;6;274;6
48;77;6;274;6
48;97;3;224;6
16;98;5;284;5
67;55;4;256;6
36;89;3;197;6
29;81;3;189;6
71;54;4;188;6
71;54;4;188;6
75;85;5;240;6
75;85;5;240;6
75;85;5;240;6
73;86;4;245;6
73;86;4;245;6
73;86;4;245;6
21;72;3;245;6
79;89;3;104;4
41;87;6;262;6
75;78;2;251;6
26;51;2;284;2
29;85;2;248;6
62;79;4;268;6
62;79;4;268;6
79;77;6;233;6
77;75;6;246;6
77;75;6;246;6
52;47;3;108;5
76;59;3;201;6
61;95;3;133;5
66;96;4;103;2
94;89;2;118;4
13;91;2;149;5
22;78;6;206;6
72;85;5;244;6
72;85;5;244;6
72;85;5;244;6
64;56;3;257;6
64;56;3;257;6
99;47;3;152;5
22;52;6;217;6
22;74;3;199;6
11;74;6;290;5
32;73;3;180;6
21;78;4;218;6
66;92;2;102;4
27;47;5;217;6
19;63;5;206;6
61;98;3;138;5
11;94;6;277;5
86;98;3;158;5
86;98;3;158;5
74;82;4;239;6
74;82;4;239;6
74;82;4;239;6
98;99;4;132;2
14;61;6;291;5
22;84;3;131;5
49;83;2;185;6
89;96;3;122;4
13;88;3;146;5
17;49;4;286;5
76;98;2;111;2
84;44;5;131;5
84;44;5;131;5
58;43;3;224;6
91;74;3;139;5
62;98;4;107;2
49;56;4;260;6
23;84;5;131;5
45;41;3;216;6
41;84;6;191;6
48;93;3;219;6
48;93;3;219;6
48;93;3;219;6
34;62;2;257;6
44;45;6;237;6
69;76;5;255;6
11;93;6;294;4
11;93;6;294;4
18;99;4;160;5
26;91;6;113;2
99;92;5;174;5
58;73;3;265;6
64;86;4;248;6
81;99;2;156;5
33;82;5;249;6
63;86;6;206;6
84;96;6;155;5
84;96;6;155;5
21;96;4;287;5
79;97;6;113;2
82;97;3;115;2
54;81;5;261;6
78;96;4;111;2
26;67;2;242;6
21;38;3;275;5
45;63;5;111;5
45;63;5;111;5
64;96;3;109;4
26;97;3;125;2
11;84;6;298;4
11;84;6;298;4
11;84;6;298;4
31;51;4;229;6
11;97;6;288;4
46;63;2;177;6
57;61;3;112;5
73;68;3;121;5
73;68;3;121;5
32;66;5;116;5
24;62;6;225;6
24;62;6;225;6
85;82;6;141;5
58;77;4;190;6
21;94;3;287;5
11;87;6;278;5
83;37;5;101;4
73;71;5;215;6
29;56;5;231;6
64;58;5;115;5
25;98;6;287;5
59;81;6;123;5
11;88;6;294;4
11;93;6;290;4
36;56;6;242;6
73;59;6;121;5
11;89;6;293;4
11;89;6;293;4
11;89;6;293;4
93;99;4;136;4
42;74;5;256;6
62;78;5;250;6
11;85;6;295;4
11;91;5;291;4
47;47;2;221;6
27;61;3;213;6
13;61;6;283;5
14;98;5;172;5
24;48;5;123;5
16;61;6;269;2
16;61;6;269;2
95;37;4;285;3
11;83;6;295;4
11;97;6;284;4
11;97;6;284;4
11;97;6;284;4
13;95;5;149;2
34;42;6;287;5
63;65;4;246;6
66;69;5;202;6
53;75;6;192;6
11;95;6;286;4
11;95;6;286;4
11;95;6;286;4
24;78;5;131;5
12;42;3;110;2
21;39;6;132;5
69;66;3;215;6
69;66;3;215;6
53;85;3;236;6
13;97;3;156;2
71;36;2;132;5
29;95;5;117;4
11;95;6;285;4
44;99;5;119;2
11;94;6;286;4
11;94;6;286;4
11;94;6;286;4
32;97;6;272;2
44;74;4;250;6
36;55;6;226;6
39;78;2;205;6
34;87;4;283;2
16;82;5;121;2
99;91;5;136;4
11;87;6;291;4
35;58;3;229;6
85;96;5;165;5
66;63;6;223;6
43;74;4;121;5
11;88;6;290;4
89;92;4;165;5
11;79;6;294;4
93;97;5;137;4
89;98;5;274;5
38;55;2;215;6
95;95;4;137;4
96;69;4;156;5
63;62;5;212;6
36;95;6;276;2
98;91;4;273;2
99;49;4;270;2
95;38;2;103;3
44;87;5;104;4
99;89;3;273;2
41;77;4;231;6
96;74;5;160;5
54;61;4;118;5
54;61;4;118;5
96;37;3;111;2
91;99;5;265;5
26;98;5;161;5
21;87;4;148;5
27;82;4;276;2
88;82;4;109;2
11;96;6;280;4
11;96;6;280;4
99;48;3;104;3
11;79;6;292;4
11;79;6;292;4
11;79;6;292;4
11;79;6;292;4
11;79;6;292;4
11;79;6;292;4
95;37;6;233;5
99;39;6;214;5
19;99;3;154;2
52;86;6;103;4
56;71;4;296;2
56;71;4;296;2
56;71;4;296;2
89;95;4;275;5
89;95;4;275;5
89;95;4;275;5
14;83;5;153;5
38;68;5;211;6
15;95;4;173;5
18;67;5;285;5
65;92;3;101;3
44;61;5;230;6
44;61;5;230;6
14;57;6;275;5
23;77;5;272;2
23;77;5;272;2
56;71;3;211;6
56;71;3;211;6
42;74;6;218;6
11;93;6;282;4
11;93;6;282;4
11;93;6;282;4
95;89;5;132;4
11;97;6;277;4
11;97;6;277;4
11;97;6;277;4
59;49;5;122;5
11;77;6;291;4
11;77;6;291;4
11;77;6;291;4
23;47;4;277;5
65;98;3;283;2
11;95;6;279;4
11;95;6;279;4
21;71;4;270;2
21;71;4;270;2
84;36;6;256;5
99;83;4;274;2
17;48;6;270;5
15;84;4;275;5
25;98;4;166;5
94;97;5;197;5
79;78;3;101;2
88;45;5;274;2
15;91;6;281;3
87;73;5;111;4
61;84;5;104;4
11;89;6;284;4
14;75;4;277;5
14;75;4;277;5
97;93;5;137;2
97;93;5;137;2
14;66;6;142;5
11;86;6;286;4
11;86;6;286;4
11;92;6;281;4
11;92;6;281;4
34;69;6;283;2
98;98;4;259;2
11;89;6;260;5
11;89;6;260;5
11;89;6;260;5
64;96;4;152;5
11;84;6;287;4
11;84;6;287;4
11;84;6;287;4
96;91;3;260;5
97;66;6;164;5
64;42;5;283;5
22;86;4;293;3
85;78;4;106;2
23;46;4;274;5
15;56;6;140;5
86;98;4;270;5
34;97;6;157;5
52;92;4;112;2
13;72;4;148;5
17;76;4;280;5
74;76;5;104;4
35;59;3;281;2
12;47;3;258;5
96;95;4;265;2
87;94;4;274;5
87;94;4;274;5
87;94;4;274;5
91;99;5;254;5
91;99;5;254;5
23;77;4;140;5
89;95;2;181;5
89;95;2;181;5
89;95;2;181;5
99;97;3;257;2
16;97;6;282;4
98;93;5;145;4
22;88;5;154;5
84;73;3;146;5
11;81;5;287;4
11;81;5;287;4
11;81;5;287;4
13;91;4;175;5
88;99;3;190;5
89;97;4;264;5
93;92;5;185;5
86;95;5;275;2
47;55;4;122;5
65;68;4;128;5
16;65;4;277;5
22;89;6;278;5
65;67;5;128;5
11;94;6;276;4
11;94;6;276;4
11;94;6;276;4
86;97;5;269;5
89;64;4;151;5
69;91;6;150;5
89;99;5;257;5
89;99;5;257;5
89;99;5;257;5
13;93;4;253;5
11;91;6;279;4
84;98;5;270;5
84;98;5;270;5
83;96;5;275;5
83;96;5;275;5
83;96;5;275;5
17;57;5;286;3
75;86;6;114;4
98;99;5;141;3
37;48;2;285;5
99;99;3;158;2
99;72;3;119;2
19;72;4;102;3
19;72;4;102;3
11;83;6;262;5
14;68;4;273;5
84;99;4;267;5
84;99;4;267;5
84;99;4;267;5
11;93;6;276;4
88;89;4;275;5
11;91;6;278;4
11;91;6;278;4
11;91;6;278;4
11;91;6;278;4
16;64;6;143;5
86;95;4;270;5
82;82;5;285;2
21;56;6;277;5
15;95;4;251;5
89;86;5;275;5
89;86;5;275;5
89;86;5;275;5
96;88;5;269;2
45;48;5;287;5
99;95;3;153;4
96;93;5;141;2
95;72;3;168;5
48;45;3;277;2
85;92;4;275;5
65;69;6;131;5
24;38;6;109;2
11;87;6;280;4
14;96;3;196;5
97;79;2;272;2
86;49;4;274;2
76;99;3;133;4
76;99;3;133;4
94;49;2;250;5
55;41;4;132;5
11;95;6;271;4
98;88;5;203;5
15;97;3;198;5
19;85;6;116;3
91;94;5;257;5
14;98;6;221;5
87;98;4;266;2
11;83;6;282;4
11;83;6;282;4
11;83;6;282;4
97;89;5;265;2
81;95;4;275;5
99;76;4;185;5
71;93;3;287;5
15;81;4;160;5
63;87;2;101;3
82;68;2;285;2
87;42;5;252;5
98;96;5;139;3
83;94;5;273;5
98;62;5;254;5
97;95;3;257;2
99;99;4;163;4
99;99;4;163;4
74;99;4;276;5
43;82;4;138;5
73;48;4;139;5
15;93;4;185;5
17;91;4;260;5
92;97;4;238;5
14;51;5;259;5
46;49;5;286;5
96;73;4;273;2
96;61;3;271;2
11;86;6;279;4
99;56;6;128;4
88;97;4;255;5
79;98;4;271;5
96;89;3;142;4
96;89;3;142;4
93;59;3;273;2
93;59;3;273;2
32;81;5;111;4
31;54;5;132;5
31;54;5;132;5
31;54;5;132;5
52;98;4;272;2
96;47;2;233;5
16;98;3;232;5
16;98;3;232;5
48;52;3;280;2
33;97;5;130;4
33;97;5;130;4
11;96;6;267;4
64;38;2;269;5
36;63;3;130;5
15;81;5;280;3
15;81;5;280;3
24;85;4;155;5
18;54;4;145;5
18;54;4;145;5
17;89;5;261;5
79;97;3;271;2
14;49;4;115;4
95;88;3;266;2
97;55;4;181;5
91;98;5;135;3
17;93;5;183;5
28;46;4;260;2
89;76;2;278;2
73;98;5;272;2
73;98;5;272;2
14;52;4;122;2
97;88;4;139;2
12;78;6;260;5
56;85;3;109;2
91;97;5;233;5
91;97;5;233;5
91;97;5;233;5
11;79;6;281;4
55;97;5;125;4
92;82;5;265;5
11;91;6;272;4
78;95;5;273;2
66;76;3;139;5
83;99;5;258;5
83;99;5;258;5
93;97;3;256;2
11;78;6;281;4
93;96;5;135;3
91;84;5;265;5
91;84;5;265;5
91;84;5;265;5
87;94;4;260;5
89;93;4;137;2
45;62;6;129;5
87;88;5;269;5
87;88;5;269;5
87;88;5;269;5
56;99;4;270;2
48;63;5;129;5
78;96;5;272;5
54;82;3;284;2
97;62;6;118;2
97;62;6;118;2
87;98;4;248;5
87;98;4;248;5
87;98;4;248;5
26;99;5;184;5
26;99;5;184;5
12;58;3;241;2
66;38;4;145;5
84;99;3;144;4
89;91;5;260;5
87;93;4;268;2
13;94;4;213;5
85;87;4;273;5
85;87;4;273;5
83;93;4;269;5
83;98;4;259;5
83;98;4;259;5
83;98;4;259;5
98;95;4;250;2
91;95;5;241;5
99;98;5;241;2
13;43;4;165;5
99;84;5;138;2
38;59;4;276;2
83;94;4;267;5
82;97;5;263;5
82;97;5;263;5
82;97;5;263;5
82;97;5;263;5
16;46;6;240;2
16;46;6;240;2
91;96;4;232;5
91;96;4;232;5
36;73;4;276;2
93;44;5;190;5
58;53;3;287;5
97;81;5;266;2
14;74;6;160;5
53;96;4;272;2
53;96;4;272;2
89;89;5;262;5
31;62;6;135;5
31;62;6;135;5
31;62;6;135;5
87;38;4;183;5
11;92;6;269;4
11;92;6;269;4
98;61;4;265;2
89;46;4;248;5
95;81;5;120;3
81;99;4;259;5
81;99;4;259;5
81;99;4;259;5
95;54;4;180;5
85;99;5;248;5
88;88;4;265;5
11;94;6;266;4
86;91;5;265;5
92;92;4;245;5
92;85;5;259;5
92;85;5;259;5
92;85;5;259;5
49;98;3;267;2
89;85;5;266;5
89;85;5;266;5
89;85;5;266;5
24;39;4;152;5
91;56;4;270;2
99;79;4;133;2
11;89;6;272;4
92;93;5;240;5
92;93;5;240;5
92;93;5;240;5
89;97;4;147;2
89;97;4;147;2
12;87;4;244;5
42;37;2;284;3
81;93;5;270;5
81;93;5;270;5
81;93;5;270;5
22;52;5;109;4
71;41;5;107;4
11;96;6;262;4
92;94;4;219;5
98;84;3;286;4
82;37;2;280;3
86;88;5;268;5
84;97;5;256;5
93;68;3;272;2
11;97;6;260;4
19;36;3;167;5
19;36;3;167;5
91;61;2;272;2
93;71;4;272;2
89;83;5;130;4
74;75;4;111;4
16;56;5;152;5
81;95;5;266;5
25;68;4;279;5
11;87;6;273;4
49;74;4;104;4
83;94;4;264;5
84;94;5;262;5
91;92;4;246;5
91;92;4;246;5
91;92;4;246;5
77;49;4;274;2
84;48;4;269;2
76;54;5;278;2
85;98;5;248;5
85;98;5;248;5
85;98;5;248;5
78;95;3;270;2
89;58;3;272;2
83;98;4;254;5
24;85;4;160;5
15;68;5;246;2
61;83;3;112;4
98;88;4;145;2
96;59;2;265;2
11;94;6;264;4
11;94;6;264;4
97;93;3;153;2
97;93;3;153;2
21;37;6;266;3
83;99;5;132;3
83;99;5;132;3
98;84;3;139;2
96;99;3;148;3
14;77;4;166;5
95;61;3;267;2
36;93;3;162;5
94;51;6;239;5
94;51;6;239;5
59;94;5;274;2
81;51;3;273;2
89;64;4;274;2
97;82;3;135;2
11;86;6;273;4
11;87;6;272;4
54;48;3;275;2
79;97;5;266;2
85;55;4;158;5
76;79;3;111;2
82;91;5;271;2
82;91;5;271;2
94;88;4;262;2
94;88;4;262;2
89;93;4;141;2
84;88;4;269;5
74;97;2;135;4
32;77;6;112;4
93;56;3;266;2
86;83;4;270;5
96;92;3;150;2
89;96;5;221;5
93;89;3;262;2
84;97;5;251;5
86;82;4;274;2
86;82;4;274;2
97;97;4;242;2
22;52;5;147;5
71;96;3;132;2
89;73;3;274;2
84;99;4;134;3
49;97;4;166;5
82;85;4;274;5
11;87;5;271;4
11;87;5;271;4
11;87;5;271;4
61;92;4;159;5
93;71;5;270;2
17;91;6;246;5
88;99;5;253;2
88;99;5;253;2
13;59;5;160;5
24;65;6;275;5
79;93;5;269;5
24;87;5;268;5
83;95;5;258;5
87;83;5;267;5
83;98;4;249;5
49;99;5;262;2
98;65;4;263;2
86;85;5;267;5
83;92;3;268;2
21;98;6;208;5
18;68;6;154;5
93;51;4;110;3
93;51;4;110;3
14;41;6;114;3
91;97;4;139;3
79;91;5;271;5
79;91;5;271;5
91;89;4;247;5
83;95;3;264;2
83;95;3;264;2
43;81;3;102;3
11;89;6;268;4
11;89;6;268;4
79;93;5;268;5
79;93;5;268;5
56;96;2;269;2
31;42;4;108;4
31;42;4;108;4
41;58;5;274;2
92;96;3;154;2
89;89;4;265;2
74;99;5;263;5
92;89;4;241;5
87;91;4;255;5
85;82;4;270;5
85;82;4;270;5
85;82;4;270;5
19;94;4;196;5
19;94;4;196;5
17;94;5;273;4
86;99;3;254;2
86;89;4;136;4
81;51;4;271;2
13;76;5;171;5
21;39;2;118;4
61;49;3;275;2
61;49;3;275;2
92;46;5;195;5
87;95;3;242;5
84;86;5;268;5
84;86;5;268;5
76;93;3;271;5
48;98;5;132;4
85;85;5;267;5
14;66;5;281;4
14;66;5;281;4
98;77;3;134;2
52;96;6;166;5
64;97;4;268;2
11;97;6;254;4
81;69;5;109;2
84;48;3;266;2
84;45;3;263;2
22;61;3;148;5
22;61;3;148;5
18;64;6;154;5
95;96;4;161;2
43;75;3;108;2
52;76;4;106;2
89;87;5;255;5
89;87;5;255;5
89;87;5;255;5
89;48;3;178;5
94;99;2;273;4
94;99;2;273;4
14;99;3;257;4
15;51;6;248;5
88;89;4;254;5
62;61;6;103;4
17;78;6;284;4
75;89;5;276;5
11;77;6;275;4
96;97;5;240;2
89;92;5;242;5
89;92;5;242;5
89;92;5;242;5
84;51;2;117;4
51;51;3;274;2
71;49;4;273;2
86;96;5;238;5
73;99;5;262;5
73;99;5;262;5
73;99;5;262;5
18;49;3;240;2
18;49;3;240;2
72;95;5;271;5
98;62;5;260;2
89;47;4;108;3
84;96;4;247;5
88;86;5;258;5
98;86;4;254;2
36;73;2;111;2
36;73;2;111;2
61;86;4;153;5
14;54;5;275;4
76;89;3;273;2
24;91;5;177;5
78;89;4;272;2
78;89;4;272;2
11;98;6;250;4
92;94;5;253;2
24;73;4;273;5
23;94;4;142;4
86;87;3;268;2
97;78;4;261;2
86;92;5;252;5
86;92;5;252;5
86;92;5;252;5
97;97;5;171;2
13;78;6;152;2
13;78;6;152;2
13;78;6;152;2
86;55;3;269;2
86;95;4;241;5
83;99;4;223;5
83;99;4;223;5
83;93;5;257;5
13;84;5;189;5
13;84;5;189;5
89;89;3;138;2
53;51;3;274;2
53;51;3;274;2
55;98;4;137;2
43;84;2;285;5
39;75;5;286;5
74;64;4;147;5
99;97;5;229;2
63;62;4;286;5
73;52;3;274;2
65;36;2;282;3
13;69;4;127;4
58;91;3;124;2
66;51;6;105;4
99;82;3;255;2
11;77;6;274;4
57;37;3;108;4
84;88;4;263;5
84;88;4;263;5
84;88;4;263;5
18;49;5;250;5
53;45;5;140;5
87;92;3;141;2
63;96;4;133;2
77;85;5;276;5
42;73;3;108;4
89;92;5;237;5
89;92;5;237;5
89;92;5;237;5
78;86;5;274;5
78;86;5;274;5
73;92;4;273;5
83;95;4;251;5
83;95;4;251;5
83;95;4;251;5
98;55;4;255;2
71;96;5;135;4
41;96;6;171;5
98;74;4;260;2
66;99;4;263;2
75;96;3;138;2
59;75;3;106;2
87;95;5;227;5
86;95;4;238;5
91;59;3;266;2
99;94;4;167;4
99;94;4;167;4
79;96;4;257;5
81;98;5;245;5
